Date,Ticker,Ticker_name,Exposure,Category,model_score_wtd_change,current_model_score,previous_model_score
2026-03-13,CNR,"CORE NATURAL RESOURCES, INC.",,MR Discretion,-21.0,6.0,27.0
2026-03-13,COF,CAPITAL ONE FINANCIAL ,Financials,Financials,-30.0,-2.0,28.0
2026-03-13,COIN,"COINBASE GLOBAL, INC.",Financials,Financials,-35.0,-67.0,-32.0
2026-03-13,COMT,ISHARES:GSCI COMM DYN RS,,Commodities,6.0,-2.0,-8.0
2026-03-13,COO,"THE COOPER COMPANIES, INC.",Health Care,Health Care,-7.0,16.0,23.0
2026-03-13,COP,CONOCOPHILLIPS,Energy,Energy,-31.0,-54.0,-23.0
2026-03-13,COR,"CENCORA, INC.",Health Care,Health Care,50.0,56.0,6.0
2026-03-13,CORN,TEUCRIUM:CORN,,Commodities,5.0,3.0,-2.0
2026-03-13,COST,COSTCO WHOLESALE ,Consumer Staples,Consumer Staples,8.0,-10.0,-18.0
2026-03-13,CPAY,"FLEETCOR TECHNOLOGIES, INC.",Financials,Financials,-30.0,-22.0,8.0
2026-03-13,CPB,CAMPBELL SOUP COMPANY,Consumer Staples,Consumer Staples,33.0,11.0,-22.0
2026-03-13,CPER,UNITED STATES COPPER IDX,,Commodities,-16.0,8.0,24.0
2026-03-13,CPRT,"COPART, INC.",Industrials,Industrials,49.0,22.0,-27.0
2026-03-13,CPT,CAMDEN PROPERTY TRUST,Real Estate,Real Estate,8.0,-18.0,-26.0
2026-03-13,CRESY,CRESUD INC.,,MR Discretion,-40.0,-21.0,19.0
2026-03-13,CRH,CRH PUBLIC LIMITED COMPANY,Materials,Materials,51.0,-0.0,-51.0
2026-03-13,CRL,CHARLES RIVER LABORATORIES,Health Care,Health Care,9.0,-29.0,-38.0
2026-03-13,CRM,"SALESFORCE, INC.",Information Technology,Information Technology,36.0,-31.0,-67.0
